Read the parameters into your program so you an refer to them by state,,,,,,,,,
,,,,,Cost Parameters,,,,
ExpenseName,stateAbbrev,stateFIPS,famsize,yearofdata,expense.healthcare.employer,,,,
expense.healthcare.employer,RI,44,6,2019,"1,707",,,,
expense.healthcare.employer,VT,50,6,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,6,2019,"1,838",,,,
expense.healthcare.employer,NY,36,6,2019,"1,906",,,,
expense.healthcare.employer,PA,42,6,2019,"1,723",,,,
expense.healthcare.employer,IL,17,6,2019,"1,722",,,,
expense.healthcare.employer,IN,18,6,2019,"1,764",,,,
expense.healthcare.employer,MI,26,6,2019,"1,702",,,,
expense.healthcare.employer,OH,39,6,2019,"1,635",,,,
expense.healthcare.employer,WI,55,6,2019,"1,695",,,,
expense.healthcare.employer,IA,19,6,2019,"1,563",,,,
expense.healthcare.employer,KS,20,6,2019,"1,572",,,,
expense.healthcare.employer,MN,27,6,2019,"1,729",,,,
expense.healthcare.employer,MO,29,6,2019,"1,658",,,,
expense.healthcare.employer,NE,31,6,2019,"1,617",,,,
expense.healthcare.employer,ND,38,6,2019,"1,533",,,,
expense.healthcare.employer,SD,46,6,2019,"1,689",,,,
expense.healthcare.employer,DE,10,6,2019,"1,719",,,,
expense.healthcare.employer,DC,11,6,2019,"1,859",,,,
expense.healthcare.employer,FL,12,6,2019,"1,726",,,,
expense.healthcare.employer,GA,13,6,2019,"1,643",,,,
expense.healthcare.employer,MD,24,6,2019,"1,690",,,,
expense.healthcare.employer,NC,37,6,2019,"1,666",,,,
expense.healthcare.employer,SC,45,6,2019,"1,748",,,,
expense.healthcare.employer,VA,51,6,2019,"1,655",,,,
expense.healthcare.employer,WV,54,6,2019,"1,700",,,,
expense.healthcare.employer,AL,1,6,2019,"1,478",,,,
expense.healthcare.employer,KY,21,6,2019,"1,718",,,,
expense.healthcare.employer,MS,28,6,2019,"1,488",,,,
expense.healthcare.employer,TN,47,6,2019,"1,562",,,,
expense.healthcare.employer,AR,5,6,2019,"1,481",,,,
expense.healthcare.employer,LA,22,6,2019,"1,586",,,,
expense.healthcare.employer,OK,40,6,2019,"1,652",,,,
expense.healthcare.employer,TX,48,6,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,6,2019,"1,664",,,,
expense.healthcare.employer,CO,8,6,2019,"1,681",,,,
expense.healthcare.employer,ID,16,6,2019,"1,605",,,,
expense.healthcare.employer,MT,30,6,2019,"1,683",,,,
expense.healthcare.employer,NV,32,6,2019,"1,560",,,,
expense.healthcare.employer,NM,35,6,2019,"1,599",,,,
expense.healthcare.employer,UT,49,6,2019,"1,556",,,,
expense.healthcare.employer,WY,56,6,2019,"1,660",,,,
expense.healthcare.employer,AK,2,6,2019,"1,914",,,,
expense.healthcare.employer,CA,6,6,2019,"1,732",,,,
expense.healthcare.employer,HI,15,6,2019,"1,604",,,,
expense.healthcare.employer,OR,41,6,2019,"1,617",,,,
expense.healthcare.employer,WA,53,6,2019,"1,669",,,,
expense.healthcare.employer,CT,9,7,2019,"1,780",,,,
expense.healthcare.employer,ME,23,7,2019,"1,728",,,,
expense.healthcare.employer,MA,25,7,2019,"1,785",,,,
expense.healthcare.employer,NH,33,7,2019,"1,673",,,,
expense.healthcare.employer,RI,44,7,2019,"1,707",,,,
expense.healthcare.employer,VT,50,7,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,7,2019,"1,838",,,,
expense.healthcare.employer,NY,36,7,2019,"1,906",,,,
expense.healthcare.employer,PA,42,7,2019,"1,723",,,,
expense.healthcare.employer,IL,17,7,2019,"1,722",,,,
expense.healthcare.employer,IN,18,7,2019,"1,764",,,,
expense.healthcare.employer,MI,26,7,2019,"1,702",,,,
expense.healthcare.employer,OH,39,7,2019,"1,635",,,,
expense.healthcare.employer,WI,55,7,2019,"1,695",,,,
expense.healthcare.employer,IA,19,7,2019,"1,563",,,,
expense.healthcare.employer,KS,20,7,2019,"1,572",,,,
expense.healthcare.employer,MN,27,7,2019,"1,729",,,,
expense.healthcare.employer,MO,29,7,2019,"1,658",,,,
expense.healthcare.employer,NE,31,7,2019,"1,617",,,,
expense.healthcare.employer,ND,38,7,2019,"1,533",,,,
expense.healthcare.employer,SD,46,7,2019,"1,689",,,,
expense.healthcare.employer,DE,10,7,2019,"1,719",,,,
expense.healthcare.employer,DC,11,7,2019,"1,859",,,,
expense.healthcare.employer,FL,12,7,2019,"1,726",,,,
expense.healthcare.employer,GA,13,7,2019,"1,643",,,,
expense.healthcare.employer,MD,24,7,2019,"1,690",,,,
expense.healthcare.employer,NC,37,7,2019,"1,666",,,,
expense.healthcare.employer,SC,45,7,2019,"1,748",,,,
expense.healthcare.employer,VA,51,7,2019,"1,655",,,,
expense.healthcare.employer,WV,54,7,2019,"1,700",,,,
expense.healthcare.employer,AL,1,7,2019,"1,478",,,,
expense.healthcare.employer,KY,21,7,2019,"1,718",,,,
expense.healthcare.employer,MS,28,7,2019,"1,488",,,,
expense.healthcare.employer,TN,47,7,2019,"1,562",,,,
expense.healthcare.employer,AR,5,7,2019,"1,481",,,,
expense.healthcare.employer,LA,22,7,2019,"1,586",,,,
expense.healthcare.employer,OK,40,7,2019,"1,652",,,,
expense.healthcare.employer,TX,48,7,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,7,2019,"1,664",,,,
expense.healthcare.employer,CO,8,7,2019,"1,681",,,,
expense.healthcare.employer,ID,16,7,2019,"1,605",,,,
expense.healthcare.employer,MT,30,7,2019,"1,683",,,,
expense.healthcare.employer,NV,32,7,2019,"1,560",,,,
expense.healthcare.employer,NM,35,7,2019,"1,599",,,,
expense.healthcare.employer,UT,49,7,2019,"1,556",,,,
expense.healthcare.employer,WY,56,7,2019,"1,660",,,,
expense.healthcare.employer,AK,2,7,2019,"1,914",,,,
expense.healthcare.employer,CA,6,7,2019,"1,732",,,,
expense.healthcare.employer,HI,15,7,2019,"1,604",,,,
expense.healthcare.employer,OR,41,7,2019,"1,617",,,,
expense.healthcare.employer,WA,53,7,2019,"1,669",,,,
expense.healthcare.employer,CT,9,8,2019,"1,780",,,,
expense.healthcare.employer,ME,23,8,2019,"1,728",,,,
expense.healthcare.employer,MA,25,8,2019,"1,785",,,,
expense.healthcare.employer,NH,33,8,2019,"1,673",,,,
expense.healthcare.employer,RI,44,8,2019,"1,707",,,,
expense.healthcare.employer,VT,50,8,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,8,2019,"1,838",,,,
expense.healthcare.employer,NY,36,8,2019,"1,906",,,,
expense.healthcare.employer,PA,42,8,2019,"1,723",,,,
expense.healthcare.employer,IL,17,8,2019,"1,722",,,,
expense.healthcare.employer,IN,18,8,2019,"1,764",,,,
expense.healthcare.employer,MI,26,8,2019,"1,702",,,,
expense.healthcare.employer,OH,39,8,2019,"1,635",,,,
expense.healthcare.employer,WI,55,8,2019,"1,695",,,,
expense.healthcare.employer,IA,19,8,2019,"1,563",,,,
expense.healthcare.employer,KS,20,8,2019,"1,572",,,,
expense.healthcare.employer,MN,27,8,2019,"1,729",,,,
expense.healthcare.employer,MO,29,8,2019,"1,658",,,,
expense.healthcare.employer,NE,31,8,2019,"1,617",,,,
expense.healthcare.employer,ND,38,8,2019,"1,533",,,,
expense.healthcare.employer,SD,46,8,2019,"1,689",,,,
expense.healthcare.employer,DE,10,8,2019,"1,719",,,,
expense.healthcare.employer,DC,11,8,2019,"1,859",,,,
expense.healthcare.employer,FL,12,8,2019,"1,726",,,,
expense.healthcare.employer,GA,13,8,2019,"1,643",,,,
expense.healthcare.employer,MD,24,8,2019,"1,690",,,,
expense.healthcare.employer,NC,37,8,2019,"1,666",,,,
expense.healthcare.employer,SC,45,8,2019,"1,748",,,,
expense.healthcare.employer,VA,51,8,2019,"1,655",,,,
expense.healthcare.employer,WV,54,8,2019,"1,700",,,,
expense.healthcare.employer,AL,1,8,2019,"1,478",,,,
expense.healthcare.employer,KY,21,8,2019,"1,718",,,,
expense.healthcare.employer,MS,28,8,2019,"1,488",,,,
expense.healthcare.employer,TN,47,8,2019,"1,562",,,,
expense.healthcare.employer,AR,5,8,2019,"1,481",,,,
expense.healthcare.employer,LA,22,8,2019,"1,586",,,,
expense.healthcare.employer,OK,40,8,2019,"1,652",,,,
expense.healthcare.employer,TX,48,8,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,8,2019,"1,664",,,,
expense.healthcare.employer,CO,8,8,2019,"1,681",,,,
expense.healthcare.employer,ID,16,8,2019,"1,605",,,,
expense.healthcare.employer,MT,30,8,2019,"1,683",,,,
expense.healthcare.employer,NV,32,8,2019,"1,560",,,,
expense.healthcare.employer,NM,35,8,2019,"1,599",,,,
expense.healthcare.employer,UT,49,8,2019,"1,556",,,,
expense.healthcare.employer,WY,56,8,2019,"1,660",,,,
expense.healthcare.employer,AK,2,8,2019,"1,914",,,,
expense.healthcare.employer,CA,6,8,2019,"1,732",,,,
expense.healthcare.employer,HI,15,8,2019,"1,604",,,,
expense.healthcare.employer,OR,41,8,2019,"1,617",,,,
expense.healthcare.employer,WA,53,8,2019,"1,669",,,,
expense.healthcare.employer,CT,9,9,2019,"1,780",,,,
expense.healthcare.employer,ME,23,9,2019,"1,728",,,,
expense.healthcare.employer,MA,25,9,2019,"1,785",,,,
expense.healthcare.employer,NH,33,9,2019,"1,673",,,,
expense.healthcare.employer,RI,44,9,2019,"1,707",,,,
expense.healthcare.employer,VT,50,9,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,9,2019,"1,838",,,,
expense.healthcare.employer,NY,36,9,2019,"1,906",,,,
expense.healthcare.employer,PA,42,9,2019,"1,723",,,,
expense.healthcare.employer,IL,17,9,2019,"1,722",,,,
expense.healthcare.employer,IN,18,9,2019,"1,764",,,,
expense.healthcare.employer,MI,26,9,2019,"1,702",,,,
expense.healthcare.employer,OH,39,9,2019,"1,635",,,,
expense.healthcare.employer,WI,55,9,2019,"1,695",,,,
expense.healthcare.employer,IA,19,9,2019,"1,563",,,,
expense.healthcare.employer,KS,20,9,2019,"1,572",,,,
expense.healthcare.employer,MN,27,9,2019,"1,729",,,,
expense.healthcare.employer,MO,29,9,2019,"1,658",,,,
expense.healthcare.employer,NE,31,9,2019,"1,617",,,,
expense.healthcare.employer,ND,38,9,2019,"1,533",,,,
expense.healthcare.employer,SD,46,9,2019,"1,689",,,,
expense.healthcare.employer,DE,10,9,2019,"1,719",,,,
expense.healthcare.employer,DC,11,9,2019,"1,859",,,,
expense.healthcare.employer,FL,12,9,2019,"1,726",,,,
expense.healthcare.employer,GA,13,9,2019,"1,643",,,,
expense.healthcare.employer,MD,24,9,2019,"1,690",,,,
expense.healthcare.employer,NC,37,9,2019,"1,666",,,,
expense.healthcare.employer,SC,45,9,2019,"1,748",,,,
expense.healthcare.employer,VA,51,9,2019,"1,655",,,,
expense.healthcare.employer,WV,54,9,2019,"1,700",,,,
expense.healthcare.employer,AL,1,9,2019,"1,478",,,,
expense.healthcare.employer,KY,21,9,2019,"1,718",,,,
expense.healthcare.employer,MS,28,9,2019,"1,488",,,,
expense.healthcare.employer,TN,47,9,2019,"1,562",,,,
expense.healthcare.employer,AR,5,9,2019,"1,481",,,,
expense.healthcare.employer,LA,22,9,2019,"1,586",,,,
expense.healthcare.employer,OK,40,9,2019,"1,652",,,,
expense.healthcare.employer,TX,48,9,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,9,2019,"1,664",,,,
expense.healthcare.employer,CO,8,9,2019,"1,681",,,,
expense.healthcare.employer,ID,16,9,2019,"1,605",,,,
expense.healthcare.employer,MT,30,9,2019,"1,683",,,,
expense.healthcare.employer,NV,32,9,2019,"1,560",,,,
expense.healthcare.employer,NM,35,9,2019,"1,599",,,,
expense.healthcare.employer,UT,49,9,2019,"1,556",,,,
expense.healthcare.employer,WY,56,9,2019,"1,660",,,,
expense.healthcare.employer,AK,2,9,2019,"1,914",,,,
expense.healthcare.employer,CA,6,9,2019,"1,732",,,,
expense.healthcare.employer,HI,15,9,2019,"1,604",,,,
expense.healthcare.employer,OR,41,9,2019,"1,617",,,,
expense.healthcare.employer,WA,53,9,2019,"1,669",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
